"abbreviation";"name"
"A";"Augsburg (Stadt und Kreis)"
"AA";"Ostalbkreis"
"AB";"Aschaffenburg (Stadt und Kreis)"
"ABG";"Altenburger Land"
"ABI";"Anhalt-Bitterfeld"
"AC";"Aachen"
"AE";"Vogtlandkreis"
"AH";"Borken"
"AIB";"Rosenheim, Landkreis München"
"AIC";"Aichach-Friedberg"
"AK";"Altenkirchen Westerwald"
"AL";"Altena"
"ALF";"Hildesheim"
"ALS";"Vogelsbergkreis in Alsfeld Oberhessen"
"ALZ";"Aschaffenburg"
"AM";"Amberg"
"AN";"Ansbach (Stadt und Kreis)"
"ANA";"Erzgebirgskreis"
"ANG";"Angermünde"
"ANK";"Vorpommern-Greifswald"
"AÖ";"Altötting"
"AP";"Weimarer Land"
"APD";"Weimarer Land"
"AR";"Arnsberg"
"ARN";"Ilm-Kreis"
"ART";"Kyffhäuserkreis"
"AS";"Amberg-Sulzbach"
"ASD";"Aschendorf-Hümmeling in Papenburg-Aschendorf"
"ASL";"Salzlandkreis"
"ASZ";"Erzgebirgskreis"
"AT";"Mecklenburgische Seenplatte"
"AU";"Erzgebirgskreis"
"AUR";"Aurich"
"AW";"Ahrweiler"
"AZ";"Alzey-Worms"
"AZE";"Anhalt-Bitterfeld"
"B";"Berlin"
"BA";"Bamberg (Stadt und Kreis)"
"BAD";"Baden-Baden"
"BAR";"Barnim"
"BB";"Böblingen"
"BBG";"Salzlandkreis"
"BC";"Biberach"
"BCH";"Neckar-Odenwald-Kreis"
"BE";"Beckum"
"BED";"Landkreis Mittelsachsen"
"BEI";"Beilngries"
"BEL";"Belzig"
"BER";"Barnim"
"BF";"Steinfurt"
"BGD";"Berchtesgaden"
"BGL";"Berchtesgadener Land"
"BH";"Bühl Baden"
"BI";"Bielefeld"
"BID";"Marburg-Biedenkopf"
"BIN";"Mainz-Bingen"
"BIR";"Birkenfeld Nahe Kreis, Idar-Oberstein"
"BIT";"Bitburg-Prüm (Eifelkreis)"
"BIW";"Landkreis Bautzen"
"BK";"Landkreis Börde"
"BK";"Backnang"
"BKS";"Bernkastel-Wittlich"
"BL";"Zollernalbkreis"
"BLB";"Siegen-Wittgenstein"
"BLK";"Burgenlandkreis"
"BM";"Rhein-Erft-Kreis"
"BN";"Bonn"
"BNA";"Landkreis Leipzig"
"BO";"Bochum"
"BÖ";"Landkreis Börde"
"BOG";"Bogen"
"BOH";"Borken"
"BOH";"Bocholt, Stadt"
"BOR";"Borken"
"BOT";"Bottrop"
"BR";"Bruchsal"
"BRA";"Wesermarsch"
"BRB";"Brandenburg"
"BRG";"Jerichower Land"
"BRI";"Brilon"
"BRK";"Bad Kissingen"
"BRL";"Goslar"
"BRV";"Rotenburg (Wümme)"
"BS";"Braunschweig"
"BSB";"Bersenbrück"
"BSK";"Beeskow"
"BT";"Bayreuth (Stadt und Kreis)"
"BTF";"Landkreis Anhalt-Bitterfeld"
"BU";"Burgdorf"
"BÜD";"Wetteraukreis"
"BUL";"Schwandorf, Amberg-Sulzbach"
"BÜR";"Büren"
"BÜS";"Konstanz, Gemeinde Büsingen am Hochrhein"
"BÜZ";"Landkreis Rostock"
"BZ";"Landkreis Bautzen"
"BZA";"Bergzabern"
"C";"Chemnitz"
"CA";"Oberspreewald-Lausitz"
"CAS";"Recklinghausen"
"CB";"Cottbus"
"CE";"Celle"
"CHA";"Cham"
"CLP";"Cloppenburg"
"CLZ";"Goslar"
"CO";"Coburg (Stadt und Kreis)"
"COC";"Cochem-Zell"
"COE";"Coesfeld"
"CR";"Crailsheim"
"CUX";"Cuxhaven"
"CW";"Calw"
"D";"Düsseldorf"
"DA";"Darmstadt"
"DA";"Darmstadt-Dieburg"
"DAH";"Dachau"
"DAN";"Lüchow-Dannenberg"
"DAU";"Daun"
"DBR";"Landkreis Rostock"
"DBR";"Bad Doberan"
"DD";"Dresden"
"DE";"Dessau-Roßlau"
"DEG";"Deggendorf"
"DEL";"Delmenhorst"
"DGF";"Dingolfing-Landau"
"DH";"Diepholz"
"DI";"Darmstadt-Dieburg"
"DIL";"Dillkreis in Dillenburg"
"DIN";"Wesel"
"DIZ";"Rhein-Lahn-Kreis"
"DKB";"Ansbach"
"DL";"Landkreis Mittelsachsen"
"DLG";"Dillingen an der Donau"
"DM";"Mecklenburgische Seenplatte"
"DN";"Düren"
"DO";"Dortmund"
"DON";"Donau-Ries"
"DS";"Donauschingen"
"DT";"Lippe in Detmold"
"DU";"Duisburg"
"DUD";"Landkreis Göttingen"
"DÜW";"Bad Dürkheim"
"DW";"Sächsische Schweiz-Osterzgebirge"
"DZ";"Landkreis Nordsachsen"
"E";"Essen"
"EA";"Eisenach"
"EB";"Landkreis Nordsachsen"
"EBE";"Ebersberg"
"EBN";"Ebern"
"EBS";"Kulmbach, Bayreuth, Forchheim"
"ECK";"Rendsburg-Eckernförde"
"ED";"Erding"
"EE";"Elbe-Elster"
"EF";"Erfurt"
"EG";"Rottal-Inn"
"EH";"Eisenhüttenstadt"
"EHI";"Ehingen Donau"
"EI";"Eichstätt"
"EIC";"Eichsfeld"
"EIH";"Eichstätt"
"EIL";"Mansfeld-Südharz"
"EIN";"Northeim"
"EIS";"Saale-Holzland-Kreis"
"EL";"Emsland"
"EM";"Emmendingen"
"EMD";"Emden"
"EMS";"Rhein-Lahn-Kreis"
"EN";"Ennepe-Ruhr-Kreis"
"ER";"Erlangen"
"ERB";"Odenwaldkreis"
"ERH";"Erlangen-Höchstadt"
"ERK";"Erkelenz"
"ERZ";"Erzgebirgskreis"
"ES";"Esslingen am Neckar"
"ESA";"Eisennach"
"ESB";"Neustadt a. d. Waldnaab, Amberg-Sulzbach, Bayreuth, Nürnberger Land"
"ESW";"Werra-Meißner-Kreis"
"EU";"Euskirchen"
"EUT";"Eutin"
"EW";"Barnim"
"F";"Frankfurt am Main"
"FAL";"Fallingborstel"
"FB";"Wetteraukreis"
"FD";"Fulda"
"FDB";"Aichach-Friedberg"
"FDS";"Freudenstadt"
"FEU";"Ansbach"
"FF";"Frankfurt (Oder)"
"FFB";"Fürstenfeldbruck"
"FG";"Landkreis Mittelsachsen"
"FH";"Main-Taunus-Kreis in Frankfurt Main-Höchst"
"FI";"Elbe-Elster"
"FKB";"Frankenberg Eder"
"FL";"Flensburg"
"FLÖ";"Landkreis Mittelsachsen"
"FN";"Bodenseekreis"
"FO";"Forchheim"
"FOR";"Spree-Neiße"
"FR";"Freiburg im Breisgau"
"FR";"Breisgau-Hochschwarzwald"
"FRG";"Freyung-Grafenau"
"FRI";"Friesland"
"FRW";"Märkisch-Oderland"
"FS";"Freising"
"FT";"Frankenthal"
"FTL";"Sächsische Schweiz-Osterzgebirge"
"FÜ";"Fürth (Stadt und Kreis)"
"FÜS";"Ostallgäu"
"FW";"Fürstenwalde"
"FZ";"Fritzlar-Homberg in Fritzlar"
"G";"Gera"
"GA";"Altmarkkreis-Salzwedel"
"GAN";"Northeim"
"GAP";"Garmisch-Partenkirchen"
"GC";"Landkreis Zwickau"
"GD";"Ostalbkreis"
"GD";"Schwäbisch Gmünd"
"GDB";"Landkreis Nordwestmecklenburg"
"GE";"Gelsenkirchen"
"GEL";"Geldern"
"GEM";"Gemünden am Main"
"GEO";"Schweinfurt"
"GER";"Germersheim"
"GF";"Gifhorn"
"GG";"Groß-Gerau"
"GHA";"Landkreis Leipzig"
"GHC";"Wittenberg"
"GI";"Gießen"
"GK";"Region Aachen"
"GL";"Rheinisch-Bergischer Kreis"
"GLA";"Recklinghausen"
"GM";"Oberbergischer Kreis"
"GMN";"Landkreis Vorpommern-Rügen"
"GN";"Main-Kinzig-Kreis"
"GNT";"Jerichower Land"
"GÖ";"Göttingen (Stadt und Kreis)"
"GOA";"Rhein-Hunsrück-Kreis"
"GOH";"Rhein-Lahn-Kreis"
"GP";"Göppingen"
"GR";"Landkreis Görlitz"
"GRA";"Freyung-Grafenau"
"GRH";"Landkreis Meißen"
"GRI";"Rottal-Inn"
"GRM";"Landkreis Leipzig"
"GRS";"Gransee"
"GRZ";"Greiz"
"GS";"Goslar"
"GT";"Gütersloh"
"GTH";"Gotha"
"GÜ";"Landkreis Rostock"
"GUB";"Spree-Neiße"
"GUN";"Weißenburg-Gunzenhausen"
"GV";"Grevenbroich"
"GVM";"Landkreis Nordwestmecklenburg"
"GW";"Landkreis Vorpommern-Greifswald"
"GZ";"Günzburg"
"H";"Hannover (Stadt und Kreis)"
"HA";"Hagen"
"HAB";"Bad Kissingen"
"HAL";"Halle (Saale)"
"HAM";"Hamm"
"HAS";"Haßberge"
"HB";"Freie Hansestadt Bremen"
"HBN";"Hildburghausen"
"HBS";"Landkreis Harz"
"HC";"Landkreis Mittelsachsen"
"HCH";"Zollernalbkreis"
"HCH";"Hechingen"
"HD";"Heidelberg (Stadt und Kreis)"
"HDH";"Heidenheim (Brenz)"
"HDL";"Landkreis Börde"
"HE";"Helmstedt"
"HEB";"Nürnberger Land"
"HEF";"Hersfeld-Rotenburg"
"HEI";"Dithmarschen"
"HER";"Herne"
"HET";"Mansfeld-Südharz"
"HF";"Herford"
"HG";"Hochtaunuskreis"
"HGN";"Landkreis Ludwigslust-Parchim"
"HGW";"Hansestadt Greifswald"
"HH";"Freie und Hansestadt Hamburg"
"HHM";"Burgenlandkreis"
"HI";"Hildesheim"
"HIG";"Eichsfeld"
"HIP";"Roth"
"HK";"Heidekreis"
"HL";"Hansestadt Lübeck"
"HM";"Hameln-Pyrmont"
"HMÜ";"Landkreis Göttingen"
"HN";"Heilbronn Neckar (Stadt und Kreis)"
"HO";"Hof (Stadt und Kreis)"
"HOG";"Kassel (Kreis)"
"HOH";"Hofhein in Unterfranken"
"HOL";"Holzminden"
"HOM";"Saarpfalz-Kreis"
"HOR";"Horb Neckar"
"HÖS";"Höchstadt an der Aisch"
"HOT";"Landkreis Zwickau"
"HP";"Bergstraße"
"HR";"Schwalm-Eder-Kreis"
